PassengerID,Name,Age,Gender,Phone,Wallet,ConcessionType
1,Ayaan,36,M,+916410255894,4616.36,
2,Rahul,46,M,+918594519537,4938.18,
3,Ayaan,53,M,+917109608039,5070.37,Disabled
4,Ishita,54,F,+918540114111,5151.56,Ladies
5,Vanya,51,F,+916126657693,5393.8,Ladies
6,Kabir,58,M,+916781321572,5465.33,Disabled
7,Yash,58,M,+918179162183,4599.25,
8,Dev,29,M,+918061630255,4916.65,
9,Manav,57,M,+919344363591,4587.86,
10,Ansh,47,M,+918638757879,5164.28,
11,Diya,47,F,+919260166217,4749.25,Ladies
12,Vanya,54,F,+917359469041,4643.93,Ladies
13,Tara,51,F,+918372144775,4704.51,Ladies
14,Navya,37,F,+916232874432,5228.88,Ladies
15,Rohan,18,M,+919980701249,4850.66,
16,Aryan,58,M,+919436115512,5282.18,Disabled
17,Ayaan,58,M,+919770322515,4659.92,Disabled
18,Myra,29,F,+919512801174,4609.28,Ladies
19,Sai,40,M,+917769034622,4586.7,
20,Pari,26,F,+916401267003,4996.49,Ladies
21,Aryan,53,M,+918005773579,4992.89,
22,Vivaan,46,M,+916803603885,4921.5,
23,Aarohi,52,F,+919596746566,4617.23,Ladies
24,Aditya,52,M,+919999286005,4663.12,
25,Dev,44,M,+917073316153,4506.21,
26,Avni,31,F,+917718368547,5365.04,Ladies
27,Arjun,28,M,+917962144049,4797.6,Disabled
28,Avni,29,F,+916031657489,4839.28,Ladies
29,Pari,39,F,+917834583755,5344.46,Ladies
30,Yash,50,M,+919638775146,4780.06,
31,Rohan,52,M,+918371331435,5308.11,
32,Nitya,36,F,+919813192288,4693.33,Ladies
33,Arjun,56,M,+919165697380,5232.81,
34,Rahul,21,M,+918123640904,4752.72,
35,Ishaan,47,M,+918838206150,4640.73,Disabled
36,Pari,26,F,+919859247239,4705.6,Ladies
37,Krishna,32,M,+916077515161,5032.73,Disabled
38,Ira,37,F,+917360053357,4607.84,Ladies
39,Kabir,42,M,+919217483500,4863.78,
40,Aadhya,54,F,+918291944283,5329.08,Ladies
41,Aarav,52,M,+918434729117,5362.69,
42,Kabir,51,M,+916875729968,4711.9,
43,Kabir,21,M,+916950076139,5471.96,
44,Vanya,19,F,+919519407395,4708.47,Ladies
45,Neel,48,M,+917975266018,5407.65,
46,Om,34,M,+919351548942,4716.47,Disabled
47,Ishaan,44,M,+919247116705,5392.09,
48,Anika,24,F,+918894151897,5285.44,Ladies
49,Vihaan,18,M,+917700635796,5076.92,
50,Vivaan,32,M,+917616018655,4788.25,
51,Aditya,27,M,+919445772135,5438.31,
52,Anaya,23,F,+918589407672,4653.92,Ladies
53,Nitya,28,F,+916238461372,5411.14,Ladies
54,Sai,59,M,+916835506109,5150.45,
55,Rohan,43,M,+917633014213,4909.22,Disabled
56,Arjun,32,M,+918770468390,4936.22,
57,Aadhya,31,F,+918352937666,5135.06,Ladies
58,Arjun,21,M,+917753862648,4806.87,Disabled
59,Vanya,56,F,+918202096646,5254.2,Ladies
60,Meera,21,F,+917274502790,5042.71,Ladies
61,Karan,24,M,+916095082254,5333.92,
62,Kiara,48,F,+916896073358,4986.07,Ladies
63,Kabir,30,M,+917905398157,4823.85,Disabled
64,Yash,18,M,+919606560954,5301.8,
65,Meera,48,F,+918616000682,5249.66,Ladies
66,Jiya,37,F,+918354210207,5183.12,Ladies
67,Ishita,27,F,+918524889441,4841.93,Ladies
68,Aadhya,46,F,+917641497339,4813.98,Ladies
69,Anaya,26,F,+918813109571,5027.69,Ladies
70,Tara,50,F,+917664206520,5424.97,Ladies
71,Nitya,29,F,+918716013727,5329.01,Ladies
72,Pari,35,F,+916788063610,4533.73,Ladies
73,Ayaan,23,M,+918032862463,4538.98,Disabled
74,Aryan,34,M,+919204971717,5344.4,
75,Myra,38,F,+918825630609,5220.4,Ladies
